Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1/2 oH,xx VTrigger 1/2 oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
stand LP,stand LP,3,2,7,4,2,6,4,30,70,H,ch/sp/su/vs/vt1/vt2,~,~,~
stand MP,stand MP,7,3,14,3,1,10,8,60,100,H,sp/su/vs/vt1/vt2,~,~,~
stand HP,stand HP,8,3,19,2,-5,17,15,80,150,H,su/vt1/vt2,106,42,47
stand LK,stand LK,4,3,10,2,1,8,7,30,70,H,sp/su/vs/vt1/vt2,~,~,~
stand MK,stand MK,5,2,18,4,-4,10,2,60,100,H,sp/su/vs/vt1/vt2,~,~,~
stand HK,stand HK,11,2,22,3,-2,12,7,80,120,H,vt1/vt2,~,~,~
crouch LP,crouch LP,4,2,6,4,2,5,3,30,70,H,ch/sp/su/vs/vt1/vt2,~,~,~
crouch MP,crouch MP,6,3,12,5,3,7,5,60,100,H,sp/su/vs/vt1/vt2,~,~,~
crouch HP,crouch HP,10,4,16(20),8,3,18,13,80,150,H,vt1/vt2,92,60,60
crouch LK,crouch LK,4,2,7,2,1,4,3,20,70,L,ch/vt1/vt2,~,~,~
crouch MK,crouch MK,6,2,14,3,-1,9,5,50,100,L,sp/su/vs/vt1/vt2,~,~,~
crouch HK,crouch HK,7,2,24(27),KD,-15,KD (+86/37/42),14,90,150,L,vt1/vt2,67,18,23
jump LP,jump LP,3,6,~,~,~,~,~,40,70,M,-,~,~,~
jump MP,jump MP,7,5,~,~,~,~,~,50,100,M,sp,~,~,~
jump HP,jump HP,8,5,~,~,~,~,~,90,150,M,-,~,~,~
jump LK,jump LK,4,6,~,~,~,~,~,40,70,M,-,~,~,~
jump MK,jump MK,7,4,~,~,~,~,.,60,100,M,-,~,~,~
jump HK,jump HK,8,4,~,~,~,~,~,90,150,M,-,~,~,~
Tenmakujinkyaku,Divekick,16,~,6,2(12),-2(6),~,~,60,100,H,-,~,~,~
Zugaihasatsu,Overhead,23,1*2,21,0,-6,~,~,20*50,60*40,M*M,-,~,~,~
Sekiseiken,f+HP,32,7,16,5,-2,~,~,60,100,H,vt1/vt2,~,~,~
Tenha,b+HP,6,7,21,KD,-10,21*KD (+121/62/67),15*10,90,200,H,sp/su/vs/vt1/vt2,~,~,~
Kikokurenzan,HK > HK,12+15,2,18,7,0,14,7,80*45,120*63,H,vt1/vt2,~,~,~
Kongoken,HP > HP,8+18,8,30,KD,-12,KD (+115/56/61),11,80*54,150*72,H,vt1/vt2,92,33,38
Goshoha,Throw,5,3,17,KD,KD,~,~,130,170,T,-,74,15,15
Shuretsuzan,Back Throw,5,3,17,KD,KD,~,~,120,170,T,-,77,18,18
Rakan,VSkill,3,12,29(10),~,~,~,~,,,-,-,~,~,~
Dohatsu Shoten,VTrigger 1,1,~,5,~,~,~,~,,,-,-,~,~,~
