Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1 oH Gap,xx VTrigger 1 oB Gap,xx VTrigger 2 oH,xx VTrigger 2 oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
stand LP,stand LP,4,2,8,5,3,-11,-13,5,3,30,70,H,ch/sp/su/vt1/vt2,~,~,~
stand MP,stand MP,6,3,16,9,3,-1,-7,15,9,60,100,H,vt1/vt2,~,~,~
stand HP,stand HP,11,3,21,2,-2,-3,-7,13,9,90,150,H,su/vt1/vt2,93,34,39
stand HP (release),stand HP (release),8,3,21,2,-2,-3,-7,13,9,90,150,H,su/vt1/vt2,93,34,39
stand LK,stand LK,3,3,8,2,1,-13,-14,3,2,30,70,H,ch/vt1/vt2,~,~,~
stand MK,stand MK,7,3,15,4,2,-4,-6,12,10,70,100,H,vt1/vt2,~,~,~
stand HK,stand HK,15,4,5+17,2,-4,-4,-13,9,3,80,150,H,vt1/vt2,~,~,~
crouch LP,crouch LP,4,2,8,5,3,-12,-14,4,2,30,70,H,ch/sp/su/vt1/vt2,~,~,~
crouch MP,crouch MP,6,3,12,5,2,-6,-9,10,7,60,100,H,sp/su/vt1/vt2,~,~,~
crouch HP,crouch HP,8,6,21,1,-5,2,-4,18,12,80,150,H,sp/su/vt1/vt2,123,64,69
crouch LK,crouch LK,4,2,8,2,0,-14,-16,2,0,20,70,L,ch/vt1/vt2,~,~,~
crouch MK,crouch MK,8,2,18,1,-3,-8,-12,8,4,50,100,L,sp/su/vt1/vt2,~,~,~
crouch HK,crouch HK,10,5,24 (22),KD,-10,KD (+71/22/27),-7,KD (+87/38/43),9,90,150,L,vt1/vt2,68,19,24
jump LP,jump LP,4,5,~,~,~,~,~,~,~,40,70,M,-,~,~,~
jump MP,jump MP,7,4,~,~,~,~,~,~,~,70,100,M,-,~,~,~
jump HP,jump HP,9,4,~,~,~,~,~,~,~,90,150,M,-,~,~,~
jump LK,jump LK,3,6,~,~,~,~,~,~,~,40,70,M,-,~,~,~
jump MK,jump MK,8,5,~,~,~,~,~,~,~,60,100,M,-,~,~,~
jump HK,jump HK,9,5,~,~,~,~,~,~,~,90,150,M,-,~,~,~
Psycho Blow,Throw,5,3,17,KD,~,~,~,~,~,130,150,T,-,64,15,15
Cheat & Smash,Back Throw,5,3,17,KD,~,~,~,~,~,140,200,T,-,57,8,8
Psycho Cannon,VTrigger 1,16,~,9,KD,~48,~,~,~,~,20x4*40 (120),30x5 (150),H,-,161,102,107
Enhanced Snatcher,VTrigger 2,1,~,5(8),~,~,~,~,~,~,,,,-,~,~,~
Psycho Snatcher (Ground),VSkill,20,6,40,KD,-2,~,~,~,~,80,200,H,-,66,17,17
Psycho Snatcher (Ground) (hold),VSkill (hold),35,6,40,KD,3,~,~,~,~,120,0,H,-,119,60,65
Psycho Snatcher (Air),Air VSkill,8,4,47,KD,~,~,~,~,~,100,150,H,-,14,14,14
Psycho Snatcher (Air) (hold),Air VSkill (hold),26,6,40,KD,~,~,~,~,~,80,100,H,-,84,84,84
Kill Step,VReversal,~,~,31,~,~,~,~,~,~,,,-,-,~,~,~
Psycho Knuckle,Knuckle,30,12,27,KD,-2,~,~,~,~,100,150,H,-,85,53,53
Psycho Spark,Spark,11,8,16,1,-2,~,~,~,~,50,80,H,sp/su,~,~,~
Psycho Shot,Fireball,13+13,~,26,4,-4,~,~,~,~,50,70,H,su,~,~,~
EX Psycho Shot,EX Fireball,13+13,~,23,KD,8,~,~,KD (+122/64/69),22,40*60 (100),0*150,H,vt2,108,50,55
Psycho Upper,Upper,16,5,33,KD,-16,~,~,~,~,100,150,H,su,86,27,32
EX Psycho Upper,EX Upper,16(13),11,32,KD,-20,~,~,~,~,80*60 (140),150*50 (200),H,-,93,34,39
Psycho Flicker,Hands,6,2(7)2(9)2,22,3,-3,~,~,~,~,20*20*40 (80),50*50*50 (150),H,su,~,~,~
Psycho Rising,Upkicks,12,18,22+26,KD,-38,~,~,~,~,30*20,50*50,H,-,70,11,16
Psycho Splash,Dive,23+14,~,26,KD,~,~,~,~,~,30*20*63 (113),50*50*90 (190),H,-,85,26,31
EX Psycho Splash,EX Dive,23+14,~,13,KD,~,~,~,~,~,30*20*72 (122),50*50*90 (190),H,-,113,54,59
Psycho Barrage,Super,13,2(6)2(15)2(9)2(24)2(20)2(19)2,49,KD,-21,~,~,~,~,340,0,H,-,69,10,10
Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1 oH Gap,xx VTrigger 1 oB Gap,xx VTrigger 2 oH,xx VTrigger 2 oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
