Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1/2 oH,xx VTrigger 1/2 oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
stand LP,stand LP,4,2,8,4,3,6,5,30,70,H,ch/sp/su/vt1/vt2,~,~,~
stand MP,stand MP,6,3,13,6,2,14,10,60,100,H,vt1/vt2,~,~,~
stand HP,stand HP,8,3,18,7,-4,20,9,80,150,H,vt1/vt2,~,~,~
stand LK,stand LK,4,3,9,4,2,8,6,30,70,H,sp/su/vt1/vt2,~,~,~
stand MK,stand MK,7,3,15,3,-1,13,9,70,100,H,vt1/vt2,~,~,~
stand HK,stand HK,14,3,18,2,-3,15,10,80,150,H,vt1/vt2,~,~,~
crouch LP,crouch LP,4,3,7,4,2,6,4,30,70,H,ch/sp/su/vt1/vt2,~,~,~
crouch MP,crouch MP,6,2,13,3,1,10,8,60,100,H,sp/su/vt1/vt2,~,~,~
crouch HP,crouch HP,9,5,16,2,-4,15,9,90,150,H,vt1/vt2,118,59,64
crouch LK,crouch LK,4,3,8,2,0,5,3,20,70,L,ch/vt1/vt2,~,~,~
crouch MK,crouch MK,7,2,15,1,-4,10,5,60,100,L,vt1/vt2,~,~,~
crouch HK,crouch HK,7,2(16)3,20,KD,-13,KD (+85/36/41),12,90,150,L,vt1/vt2,52,3,8
crouch HK 2nd hit,crouch HK 2nd hit,25,3,20,KD,-13,~,~,70,100,L,-,70,21,26
jump LP,jump LP,4,5,~,~,~,~,~,40,70,M,-,~,~,~
jump MP,jump MP,5,5,~,~,~,~,~,70,100,M,-,~,~,~
jump HP,jump HP,8,5,~,~,~,~,~,90,150,M,-,~,~,~
jump LK,jump LK,4,5,~,~,~,~,~,40,70,M,-,~,~,~
jump MK,jump MK,7,5,~,~,~,~,~,60,100,M,-,~,~,~
jump HK,jump HK,10,5,~,~,~,~,~,90,150,M,-,~,~,~
guile high kick,df+HK,11,2,25,KD,-3,~,~,80,150,H,-,100,41,46
knee bazooka,Knee,8,5,20,-1,-3,~,~,50,100,H,-,~,~,~
rolling sobat,b or f+MK,12,2,17(20),2,-2,~,~,60,100,H,-,~,~,~
spinning back knuckle,Back Fist,11,3,16,4,-1,15,10,90,150,H,vt1/vt2,~,~,~
reverse spin kick,Upsidedown Kick,16,3,18,4,-2,~,~,90,150,H,-,~,~,~
burn straight,b+HP,8,3,20,2,-1,17,14,80,150,H,vt1/vt2,97,38,43
full bullet magnum,Overhead,21,2,19,1,-6,~,~,60,100,M,-,~,~,~
drake fang,cr.MK > f.MP,7+16,4,21,1,-6,~,~,60,100,L*M,-,~,~,~
tall edge,cr.LK > s.MP,4+6,3,17,1,-8,13,6,20*54,70*90,L*H,vt1/vt2,~,~,~
bullet revolver,cr.LK > s.MP > f+HP,4+6+10,3,22,KD,-8,KD (108/49/54),9,20*54*56,70*90*120,L*H*H,vs/vt1/vt2,91,32,37
swing out,s.MP > f+HP,6+10,3,22,KD,-8,KD (108/49/54),9,60*63,100*135,H*H,vs/vt1/vt2,91,32,37
taurus combination,s.LK > s.MK,4+7,3,15,4,-4,KD (102/43/48),6,30*45,70*72,H*H,vs/vt1/vt2,92,33,38
faultless move,Crouch Walk,~,~,~,~,~,~,~,,,-,-,~,~,~
dragon suplex,Throw,5,3,17,KD,~,~,~,130,150,-,-,51,2,2
judo throw,Back Throw,5,3,17,KD,~,~,~,120,170,-,-,63,14,14
flying mare,Air Throw,5,2,6,KD,~,~,~,130,170,-,-,88,29,34
flying buster drop,Air Back Throw,5,2,6,KD,~,~,~,140,200,-,-,51,2,2
Solid Puncher,VTrigger 1,1,~,8,~,~,~,~,,,-,-,~,~,~
Knife Edge,VTrigger 2,1,~,8,~,~,~,~,,,-,-,~,~,~
sonic blade,VSkill,18,~,31,-5,-10,~,~,40,50,H,sp,~,~,~
reverse back knuckle,VReversal,17,2,23,KD,-2,~,~,,,H,,75(78),16(19),21(24)
Sonic Boom LP,LP Fireball,10,~,30,7,2,28,23,60,50,H,su/vt1,~,~,~
Sonic Boom MP,MP Fireball,10,~,30,7,2,28,23,60,50,H,su/vt1,~,~,~
Sonic Boom HP,HP Fireball,10,~,30,7,2,28,23,60,50,H,su/vt1,~,~,~
Sonic Boom EX,EX Fireball,10,~,26,KD,4,KD (+128/67/72),23,50*50,50*50,H,vt1/vt2,107,48,53
somersault kick LK,LK Flash Kick,4,12,23+13,KD,-28,~,~,130 (100),200,H,su,83,24,29
somersault kick MK,MK Flash Kick,5,12,23+13,KD,-28,~,~,130 (100),200,H,su,83,24,29
somersault kick HK,HK Flash Kick,6,12,25+13,KD,-30,~,~,130 (100),200,H,su,83,24,29
somersault kick EX,EX Flash Kick,4,12,27+17,KD,-37,~,~,90*60 (60*60),100*100,H,-,85,26,31
sonic cross LP,VSkill > LP Boom,18,27(1)1,23,KD,12,~,~,40*40,50*50,H,-,106,47,52
sonic cross MP,VSkill > MP Boom,18,27(1)1,23,KD,14,~,~,40*40,50*50,H,-,106,47,52
sonic cross HP,VSkill > HP Boom,18,27(1)1,23,KD,14,~,~,40*40,50*50,H,-,106,47,52
sonic cross EX,VSkill > EX Boom,46,27(1)1,21,KD,21,~,~,40*50*50,50*25*75,H,-,117,58,63
Sonic Hurricane,Super (normal),7,50,49,KD,-39,~,~,320,0,H,-,81,22,27
Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1/2 oH,xx VTrigger 1/2 oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
