Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1/2 oH,xx VTrigger 1/2 oB,xx VSkill oH,xx VSkill oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
stand LP,stand LP,3,2,7,4,2,1,-1,-28(-20),-30(-22),30,70,H,ch/sp/su/vs/vt1/vt2,~,~,~
stand MP,stand MP,5,3,11,5,2/-1,7,4,-20(-12),-23(-15),60,100,H,sp/su/vs/vt1/vt2,~,~,~
stand HP,stand HP,8,3,17,4/KD,-3/-6,12,5,-15(-7),-22(-14),80,150,H,sp/su/vs/vt1/vt2,99,40,45
stand LK,stand LK,4,4,8,4,1,4,1,-28(-20),-31(-23),30,70,H,sp/su/vs/vt1/vt2,~,~,~
stand MK,stand MK,5,1(1)3,15,1,-4/-7,7,2,-20(-12),-25(-17),40*30,100,H*H,sp/su/vs/vt1/vt2,~,~,~
stand HK,stand HK,14,3,5+15,1,-4/-7,3,-2,~,~,80,150,H,vt1/vt2,13,13,13
crouch LP,crouch LP,4,3,6,4,2,1,-1,-28(-20),-30(-22),30,70,H,ch/sp/su/vs/vt1/vt2,~,~,~
crouch MP,crouch MP,6,3,16,2/4,0/-1,9,7,-18(-10),-20(-12),60,100,H,sp/su/vs/vt1/vt2,~,~,~
crouch HP,crouch HP,10,2,21,3,-5/-8,14,6,-13(-5),-21(-13),90,150,H,sp/su/vs/vt1/vt2,96,37,42
crouch LK,crouch LK,3,2,10,2,0,1,-1,~,~,20,70,L,ch/vt1/vt2,~,~,~
crouch MK,crouch MK,6,2,14,2,-2/-5,6,2,-21(-13),-25(-17),50,100,L,sp/su/vs/vt1/vt2,~,~,~
crouch HK,crouch HK,8,2,23,KD,-12/-15,KD (+81/32/37),1,~,~,100,150,L,vt1/vt2,68,19,24
jump LP,jump LP,4,5,~,~,~,~,~,~,~,40,70,M,-,~,~,~
jump MP,jump MP,6,4,~,~,~,~,~,~,~,60,100,M,-,~,~,~
jump HP,jump HP,9,5,~,~,~,~,~,~,~,90,150,M,-,~,~,~
jump LK,jump LK,4,7,~,~,~,~,~,~,~,40,70,M,-,~,~,~
jump MK,jump MK,7,5,~,~,~,~,~,~,~,60,100,M,-,~,~,~
jump HK,jump HK,8,5,~,~,~,~,~,~,~,90,150,M,-,~,~,~
Senkaikyaku,Overhead,22,2,19,0,-6,~,~,~,~,60,100,M,-,~,~,~
Koenzan,b+HK,7,2(7)3,15,4,-2,8,2,~,~,40*40,75*75,H,sp/su/vs/vt1/vt2,~,~,~
Kyoretsushu,Target Combo,5+8,3,25,KD,-12,KD (+118/59/64),4,~,~,60*54,100*90,H,sp/su/vs/vt1/vt2,102,43,48
Enkushu (air),Target Combo (air),6+5,5,~,~,~,~,~,~,~,60*63,100*90,M,-,~,~,~
Chisenkyaku,Throw,5,3,17,KD,~,~,~,~,~,120,120,T,-,60,11,11
Kaeikyakyu,Back Throw,5,3,17,KD,~,~,~,~,~,140,200,T,-,28,9,9
Zankasen (air),Air Throw,5,2,8,KD,~,~,~,~,~,140,200,T,-,~,~,~
Feng Shui Engine alpha,VTrigger 1,1,~,5,~,~,~,~,~,~,,,,-,~,~,~
Feng Shui Engine beta,Vtrigger 2,9(8),2(3),34,5(2),1(-1),~,~,~,~,70,150,H,-,~,~,~
Kasatsushu,VSkill lvl 1,46,2,25,KD,-10,~,~,~,~,80,150,H,vs,83,24,29
Kasatsushu (hold),VSkill lvl 2,80,15(16)2,33,KD,-18,~,~,~,~,20*80,50*150,H,vs,75,16,21
Kasatsushu (release),VSkill lvl 2 release,10,15(16)2,33,KD,-18,~,~,~,~,20*80,50*150,H,vs,75,16,21
Kasatsushu (charge),VSkill charge,33,~,16(24),~,~,~,~,~,~,,,,dash/vs,~,~,~
Kasatsushu (cancel),VSkill cancel,12(4),~,25,~,~,~,~,~,~,,,,-,~,~,~
Kaisenrenkyaku,VReversal,17,1,28,KD,-2,~,~,~,~,,,H,-,72,13,18
Fuharenkyaku LK Store,LK Store,10,3,18,KD,-2,KD (+108/49/54),7,~,~,30,30,H,vt1/vt2,99,40,45
Fuharenkyaku MK Store,MK Store,10,3,18,KD,-2,KD (+108/49/54),7,~,~,30,30,H,vt1/vt2,99,40,45
Fuharenkyaku HK Store,HK Store,10,3,18,KD,-2,KD (+108/49/54),7,~,~,30,30,H,vt1/vt2,99,40,45
Fuharenkyaku LK Release,LK Fireball,14,80,23,2,-2,14,10,~,~,50,80,H,su/vs/vt1/vt2,~,~,~
Fuharenkyaku MK Release,MK Release,23,2,19,6,-4,13,3,~,~,70,80,H,vs/vt1/vt2,83,24,29
