Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1/2 oH,xx VTrigger 1/2 oB,xx VSkill oH,xx VSkill oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
stand LP,stand LP,4,2,7,5,2,0,-3,-9,-12,30,70,H,ch/sp/su/vs/vt1/vt2,~,~,~
stand MP,stand MP,7,2,15,3,2,6,5,-3,-4,60,100,H,sp/su/vs/vt1/vt2,~,~,~
stand HP,stand HP,9,2,20,5,-3,13,5,3(4),-5(-4),80,150,H,sp/su/vs/vt1/vt2,~,~,~
stand LK,stand LK,4,2,9,3,-1,0,-4,-9,-13,30,70,H,sp/su/vs/vt1/vt2,~,~,~
stand MK,stand MK,8,3,19,1,-2,9,6,-4(-2),-7(-5),60,100,H,vs/vt1/vt2,~,~,~
stand HK,stand HK,14,2,26,3,-4,10,3,-1(0),-8(-7),80,150,H,vs/vt1/vt2,144,44,49
crouch LP,crouch LP,4,3,7,4,2,0,-2,-9,-11,30,70,H,ch/sp/su/vs/vt1/vt2,~,~,~
crouch MP,crouch MP,6,3,12,5,2,6,3,-3,-6,60,100,H,sp/su/vs/vt1/vt2,~,~,~
crouch HP,crouch HP,6,5,22,-4,-9,8,3,-5(-1),-10(-6),90,150,H,sp/su/vs/vt1/vt2,115,46,51
crouch LK,crouch LK,4,2,7,4,1,-1,-4,-11,-13,20,70,L,ch/vs/vt1/vt2,~,~,~
crouch MK,crouch MK,6,2,14,0,-4,1,-3,-7,-11,50,100,L,sp/su/vs/vt1/vt2,~,~,~
crouch HK,crouch HK,8,3,23,KD,-12,KD (+85/36/41),0,KD (+74/25/30),-11(-9),90,150,L,vs/vt1/vt2,73,24,29
jump LP,jump LP,3,6,~,~,~,~,~,~,~,40,70,M,-,~,~,~
jump MP,jump MP,5,6,~,~,~,~,~,~,~,70,100,M,-,~,~,~
jump HP,jump HP,9,4,~,~,~,~,~,~,~,90,150,M,-,~,~,~
jump LK,jump LK,4,7,~,~,~,~,~,~,~,40,70,M,-,~,~,~
jump MK,jump MK,6,5,~,~,~,~,~,~,~,60,100,M,-,~,~,~
jump HK,jump HK,8,5,~,~,~,~,~,~,~,90,150,M,-,~,~,~
thunder kick,Heavy Overhead,26,3,22,2,-6,~,~,~,~,80,150,M,-,~,~,~
thunder kick (feint),Overhead (fake),~,~,34,~,~,~,~,~,~,,,,-,~,~,~
inazuma kick,Medium Overhead,22,3,19,1,-6,~,~,~,~,60,100,M,-,~,~,~
chin buster,b+MP,5,2,17,0,-2,5,3,-4,-6,50,80,H,sp/su/vs/vt1/vt2,~,~,~
chin buster 2nd,b+MP > HP,5+6,3,27,KD,-13,KD (+104/45/50),3,KD,-8,50*45 (95),80*72 (152),H*H,sp/su/vs/vt1/vt2,88,29,34
lion breaker,MK > HK,8+8,4,23,KD,-6,KD (+99/40/45),2,KD,-5,60*45 (105),100*90 (190),H*H,sp/su/vs/vt1/vt2,87,28,34
knee bash,Throw,5,3,17,KD,~,~,~,~,~,120,120,T,-,72,13,13
hell wheel,Back Throw,5,3,17,KD,~,~,~,~,~,140,200,T,-,70(69),11(10),11(10)
heat rush,VTrigger 1,1,~,21,~,~,~,~,~,~,,,,-,~,~,~
Shinryuken lvl 1,VTrigger 2 lvl 1,9(7),4(3)3(2)3(2)3(2)3,28+30,KD,-51,~,~,~,~,30*10x4*70 (140),200,H,-,77,18,23
Shinryuken lvl 2,VTrigger 2 lvl 2,9(7),4(3)3(2)3(2)3(2)2(2)2(2)2(2)2(2)2(2)2(2)2(2)3,54+40,KD,~,~,~,~,~,30*10x10*40 (170),200,H,-,65,6,11
Shinryuken lvl 3,VTrigger 2 lvl 3,9(7),4(3)3(2)3(2)3(2)2(2)2(2)2(2)2(2)2(2)2(2)2(2)2(1)2(1)2(1)2(1)3,74+40,KD,~,~,~,~,~,30*10x10*5x4*30 (180),200,H,-,66,7,12
Run,VSkill (run),~,~,22,~,~,~,~,~,~,,,H,-,~,~,~
Quick Step Kick,VSkill (stepkick),15+9,2,25,KD,-6,KD (+105/46/51),7,~,~,50,100,H,vt1/vt2,92,33,38
senpu nataotoshi,VReversal,12,2,24,2,-2,~,~,~,~,40,0,H,-,~,~,~
hadouken LP,LP Fireball,14,~,34,-2,-8,20,14,~,~,60,100,H,su/vt1/vt2,~,~,~
hadouken MP,MP Fireball,14,~,34,-2,-8,20,14,~,~,60,100,H,su/vt1/vt2,~,~,~
hadouken HP,HP Fireball,14,~,34,-2,-8,20,14,~,~,60,100,H,su/vt1/vt2,~,~,~
hadouken EX,EX Fireball,12,~,33,3,1,23,21,~,~,40*50 (90),150,H*H,vt1/vt2,~,~,~
shoryuken LP,LP DP,3,11,21+9,KD,-25,KD (+107/48/53),-7,~,~,110(70),150(100),H,su/vt1/vt2,89,30,35
shoryuken MP,MP DP,4,12,24+11,KD,-30,KD (+104/45/50),-7,~,~,90*40 (130),75*75 (150),H,su/vt1/vt2,88,29,34
shoryuken HP,HP DP,4,13,30+13,KD,-34,KD (+107/48/53),-7,~,~,70*50*20 (140),50*50*50 (150),H,su/vt1/vt2,85,26,31
shoryuken EX,EX DP,4,8(18)7,47+13,KD,-45,KD (+107/48/53),-7,~,~,20x6*40 (160),20x5*50*50 (200),H,vt1/vt2,83,24,29
tatsumaki senpukyaku LK,LK Tatsu,3,2(5)2(4)2,9+10,KD,-8,KD (+100/41/46),2,~,~,20*30 (50),50*50 (100),H,su/vt1/vt2,96,37,42
tatsumaki senpukyaku MK,MK Tatsu,6,2(5)2(6)2(6)2(4)2,8+10,KD,-9,KD (+98/39/44),9,~,~,40*20*20 (80),50*50*50 (150),H,su/vt1/vt2,95,36,41
tatsumaki senpukyaku HK,HK Tatsu,14,3(9)2(10)2(10)3,5+16,KD/3,-4,~,~,~,~,30*35*35*40 (140),60*40*40*60 (200),H,-,77,18,23
tatsumaki senpukyaku EX,EX Tatsu,8,5(9)3(4)3(3)3(5)2,32+13,KD,-59,~,~,~,~,40x4 (160),50x4 (200),H,-,88,29,34
air tatsumaki senpukyaku LK,LK Air Tatsu,9,2(6)2(6)2,10,1(5),-3(3),~,~,~,~,80,100,H,-,~,~,~
air tatsumaki senpukyaku MK,MK Air Tatsu,9,2(5)2(5)2,10,1(5),-3(3),~,~,~,~,80,100,H,-,~,~,~
air tatsumaki senpukyaku HK,HK Air Tatsu,9,2(4)2(4)2,10,1(5),-3(3),~,~,~,~,80,100,H,-,~,~,~
air tatsumaki senpukyaku EX,EX Air Tatsu,9,2(6)2(7)2,13,KD,-2(0),~,~,~,~,70,100,H,-,~,~,~
guren enjikyaku,Super,5,2,16+28,KD,-26,~,~,~,~,340,0,H,-,31,31,31
Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1/2 oH,xx VTrigger 1/2 oB,xx VSkill oH,xx VSkill oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
