Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1 oH,xx VTrigger 1 oB,xx VTrigger 2 oH,xx VTrigger 2 oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
stand LP,stand LP,4,2,7,4,2,1,-1,5/1 (-34/-46),3/-1 (-36/-48),30,70,H,su/sp/vt1/vt2,~,~,~
stand MP,stand MP,5,2,11,8,-2,11,1,15/11 (-24/-36),5/1 (-34/-46),60,100,H,su/sp/vt1/vt2,~,~,~
stand HP,stand HP,7,3,18,2,-6,11,6,15/11 (-24/-36),7/3 (-32/-44),90,150,H,su/sp/vt1/vt2,~,~,~
stand LK,stand LK,4,3,8,2,1,1,0,5/1 (-34/-46),4/-1 (-35/-47),30,70,H,vt1/vt2,~,~,~
stand MK,stand MK,8,4,15,2,-3,-1,-6,3/-1 (-36/-48),-2/-6 (-41/-53),60,100,H,vt1/vt2,~,~,~
stand HK,stand HK,12,2,20,2,-4,-2,-8,2/-2 (-37/-49),-4/-8 (-43/-55),90,150,H,vt1/vt2,105,46,51
stand HK (hold),stand HK (hold),35,2,20,4,2,-3,-5,1/-3 (-38/-50),-1/-5 (-40/-52),100,150,H,vt1/vt2,~,~,~
crouch LP,crouch LP,3,2,6,3,1,-1,-3,3/-1 (-36/-48),1/-3 (-38/-50),20,70,H,su/sp/vt1/vt2,~,~,~
crouch MP,crouch MP,7,4,16,1,-1,9,7,13/9 (-26/-38),11/7 (-28/-40),60,100,H,vt1/vt2,~,~,~
crouch HP,crouch HP,11,6,17,-2,-6,9,5,13/9 (-26/-38),9/5 (-30/-42),80,150,H,su/vt1/vt2,~,~,~
crouch LK,crouch LK,4,2,8,3,1,1,-1,5/1 (-34/-46),3/-1 (-36/-48),20,70,L,vt1/vt2,~,~,~
crouch MK,crouch MK,7,3,15,3,-2,9,4,13/9 (-26/-38),8/4 (-31/-43),60,100,H,vt1/vt2,~,~,~
