Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1/2 oH,xx VTrigger 1/2 oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
stand LP,stand LP,3,2,7,4,2,4,2,30,70,H,sp/su/vt1/vt2,~,~,~
stand MP,stand MP,5,3,10,7,1,11,5,60,100,H,sp/su/vt1/vt2,~,~,~
stand HP,stand HP,8,3,20,3,-1,12,8,90,150,H,su/vt1/vt2,99,35,40
stand LK,stand LK,4,3,11,-1,-2,4,3,30,70,H,sp/su/vt1/vt2,~,~,~
stand MK,stand MK,8,3,16,2,-2,11,7,70,100,H,vt1/vt2,~,~,~
stand HK,stand HK,10,2,20,4,-1,11,-1(16),90,150,H,vt1/vt2,~,~,~
crouch LP,crouch LP,4,3,5,3,2,2,1,30,70,H,ch/sp/su/vt1/vt2,~,~,~
crouch MP,crouch MP,6,3,12,4,2,10,8,60,100,H,sp/su/vt1/vt2,~,~,~
crouch HP,crouch HP,6,4,24,-7,-10,12,9,90,150,H,sp/su/vt1/vt2,~,~,~
crouch LK,crouch LK,4,2,7,2,1,2,1,20,70,L,ch/vt1/vt2,~,~,~
crouch MK,crouch MK,7,3,13,2,-3,9,4,50,100,L,sp/su/vt1/vt2,~,~,~
crouch HK,crouch HK,8,2,22,KD,-11,KD (+83/34/39),12,90,150,L,vt1/vt2,69,20,25
jump LP,jump LP,3,6,~,~,~,~,~,40,70,M,-,~,~,~
jump MP,jump MP,7,8,~,~,~,~,~,30*30,50*50,M,sp,~,~,~
jump HP,jump HP,7,5,~,~,~,~,~,90,150,M,-,~,~,~
jump LK,jump LK,4,6,~,~,~,~,~,40,70,M,-,~,~,~
jump MK,jump MK,6,4,~,~,~,~,~,60,100,M,-,~,~,~
jump HK,jump HK,9,5,~,~,~,~,~,90,150,M,-,~,~,~
Collarbone Breaker,Overhead,22,1*3,17,1,-6,~,~,30*30,60*40,M*M,-,~,~,~
