Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1/2 oH,xx VTrigger 1/2 oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
stand LP,stand LP,4,3,8,4,2,2,0,30,70,H,ch/sp/su/vs/vt1/vt2,~,~,~
stand MP,stand MP,5,3,13,7,3,11,7,60,100,H,vt1/vt2,~,~,~
stand HP,stand HP,9,3,21,3,-2,11,6,80,150,H,sp/su/vs/vt1/vt2,~,~,~
stand LK,stand LK,4,3,13,-1,-2,2,1,30,70,H,sp/su/vs/vt1/vt2,~,~,~
stand MK,stand MK,8,3,15,3,1,13,11,60,100,H,vt1/vt2,~,~,~
stand HK,stand HK,12,2,26,1,-4,8,3,80,150,H,vt1/vt2,~,~,~
crouch LP,crouch LP,3,2,9,3,1,2,0,20,150,H,ch/sp/su/vs/vt1/vt2,~,~,~
crouch MP,crouch MP,6,4,13,5,2,9,5,60,100,H,sp/su/vs/vt1/vt2,~,~,~
crouch HP,crouch HP,8,5,23,-2,-5,7,4,90,150,H,sp/su/vs/vt1/vt2,~,~,~
crouch LK,crouch LK,4,2,8,3,0,1,-2,20,70,L,vt1/vt2,~,~,~
crouch MK,crouch MK,6,2,14,2,-3,6,1,50,100,L,sp/su/vs/vt1/vt2,~,~,~
crouch HK,crouch HK,9,2,25,KD,-13,KD (+79/30/35),0,90,150,L,vt1/vt2,66,17,22
jump LP,jump LP,4,6,~,~,~,~,~,40,70,M,-,~,~,~
jump MP,jump MP,6,7,~,~,~,~,~,60,100,M,sp,~,~,~
jump HP,jump HP,8,5,~,~,~,~,~,90,150,M,-,~,~,~
jump LK,jump LK,4,8,~,~,~,~,~,40,70,M,-,~,~,~
jump MK,jump MK,7,5,~,~,~,~,~,60,100,M,-,~,~,~
jump HK,jump HK,10,5,~,~,~,~,~,90,150,M,-,~,~,~
Flower Kick,Overhead,21,2,23,1,-7,~,~,70,100,M,-,~,~,~
Furiko Upper,Backfist,7,3,26,-4,-7,13,10,80,150,H,sp/su/vs/vt1/vt2,108,49,54
Chin Buster Kick,Panty Shot,12,3,22,3,2,16,15,80,150,H,vt1/vt2,~,~,~
Hanakaze,Throw,5,3,17,KD,~,~,~,130,150,T,-,61,12,12
Sakura Shoulder Throw,Back Throw,5,3,17,KD,~,~,~,150,200,T,-,56,7,7
Sailor Hop,Air Throw,5,2,6,KD,~,~,~,160,200,T,-,55(59),1(10),1(10)
Haru Arashi,Vtrigger 1,1,~,5,~,~,~,~,,,,-,~,~,~
Sakura Senpu,Vtrigger 2,1,~,5,~,~,~,~,,,,-,~,~,~
Haru Kaze,Vskill,28,~,15,~,~,~,~,,,,-,~,~,~
Sakura Otoshi,Vskill punch,28+11,3,6,KD,-3(5),~,~,50,40,M,-,74~79(94),15~20(45),20~25(50)
Sakura Otoshi 2nd,Vskill punch 2,5,3,6,KD,~,~,~,50*45 (95),40*72 (112),M,-,75~80(94),16~21(45),21~26(50)
Sakura Otoshi 3rd,Vskill punch 3,5,3,5,KD,~,~,~,50*45*40 (135),40*72*96 (208),M,-,58~66(88),-1~7(29),4~12(34)
Oukakyaku,Vskill divekick,28+18,14,11,3(12),-2(7),~,~,80,100,H,-,~,~,~
Kashinfu,Vskill throw,28+8,3,15,KD,~,~,~,150,200,T,-,65,16,16
Floral Spin,Vreversal,17,2,27,KD,-2,~,~,60,0,H,-,74,15,20
Hadoken LP,LP Fireball,15,42,32,-2,-8,~,~,50,100,H,su,~,~,~
Hadoken MP,MP Fireball,15,49,34,-2,-8,~,~,50,100,H,su,~,~,~
Hadoken HP,HP Fireball,15,56,36,-2,-8,~,~,60,100,H,su,~,~,~
Hadoken lvl 2,Charged Fireball,41,~,30,KD,3,~,~,40*40,150,H,su/vs,109,50,55
Hadoken EX,EX Fireball,14,~,31,KD,1,KD(+118/59/64),18,50*50,150,H,vt1/vt2,101,42,47
Tengyo Hadoken,Air Fireball,17,27,29,KD,4,~,~,60,100,H,su,97,38,43
Tengyo Hadoken lvl 2,Charged Air Fireball,39,24,36,KD,1,~,~,40*60,150,H,su/vs,95,37,42
Tengyo Hadoken EX,EX Air Fireball,15,34,30,KD,-1,KD(+106/48/53),9,40*60,150,H,vt1/vt2,98,40,45
Shouoken LP,LP DP,4,3(1)4,26+18,KD,-31,~,~,20*20*60 (100),100,H,su,81,22,27
Shouoken MP,MP DP,9,3(1)4,28+18,KD,-32,~,~,15x3*5*60 (110),150,H,su,81,22,27
Shouoken HP,HP DP,14,10(1)2,34+18,KD,-37,~,~,30x2*5x4*40 (120),150,H,su,81,22,27
Shouoken EX,EX DP,4,5(1)3(20)10,36+18,KD,-45,~,~,10x3*30*10x4*50 (150),200,H,-,72,13,18
Shunpukyaku LK,LK Tatsu,17,2,13+9,1,-2,~,~,60,150,H,-,~,~,~
Shunpukyaku MK,MK Tatsu,21,2(13)2,9+15,3,-6,~,~,40*40 (70),50*100 (150),H,-,~,~,~
Shunpukyaku HK,HK Tatsu,24,2(10)2(9)2,8+14,2,-2,~,~,30*30*40 (100),45*45*60 (150),H,-,~,~,~
Shunpukyaku EX,EX Tatsu,15,2(7)2(7)2,4+18 (22),KD,-2,~,~,20x3*60 (120),150,H,-,95,36,41
Airborne Shunpukyaku LK,LK Air Tatsu,13,2(10)2,16,KD,-5(-1),~,~,100,150,H,-,95(99),36(40),41(44)
Airborne Shunpukyaku MK,MK Air Tatsu,13,2(10)2,16,KD,-6(-1),~,~,100,150,H,-,94(100),35(41),40(46)
Airborne Shunpukyaku HK,HK Air Tatsu,13,2(10)2,16,KD,-6(0),~,~,100,150,H,-,95(100),36(41),41(45)
Airborne Shunpukyaku EX,EX Air Tatsu,12,2(3)5(2)4(1)5(2)3,16,KD,~,~,~,28x5 (140),40x5 (200),H,-,~,~,~
Sakura Rain,Super,1+5,~,71,KD,-23,~,~,330 (250),0,H,-,19(~),19(~),19(~)
Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1/2 oH,xx VTrigger 1/2 oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
